# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# HYDROBASE::press (hydrobase-press)
# 1:iteration 2:time 3:data
# data columns: 3:press
78848 92.4 0.000204942202529996
79360 93 0.000204475561887263
79872 93.6 0.000204006845504826
80384 94.2 0.000203536763155588
80896 94.8 0.000203066367520107
81408 95.4 0.000202596675648854
81920 96 0.000202128270257997
82432 96.6 0.000201661469976267
82944 97.2 0.000201196847070452
83456 97.8 0.000200735346803043
83968 98.4 0.000200277805231193
84480 99 0.000199824516798102
84992 99.6 0.000199375462043645
85504 100.2 0.000198930938593058
86016 100.8 0.000198491785744598
86528 101.4 0.000198058861692305
87040 102 0.000197632372323439
87552 102.6 0.000197211912158282
88064 103.2 0.00019679726600003
88576 103.8 0.000196389038120129
89088 104.4 0.000195988302134324
89600 105 0.000195595671397075
90112 105.6 0.000195210966156132
90624 106.2 0.000194833900135045
91136 106.8 0.000194464870038085
91648 107.4 0.000194104827992961
92160 108 0.000193754458041595
92672 108.6 0.000193413721050144
93184 109.2 0.00019308220155291
93696 109.8 0.000192759633216906
94208 110.4 0.000192445955705599
94720 111 0.000192141042532518
95232 111.6 0.000191844567844086
95744 112.2 0.000191556066347539
96256 112.8 0.000191274953572837
96768 113.4 0.000191000516188036
97280 114 0.000190732052851642
97792 114.6 0.00019046907403325
98304 115.2 0.000190211276406619
98816 115.8 0.000189958303976566
99328 116.4 0.000189709629997111
99840 117 0.000189464716836345
100352 117.6 0.000189223233253448
100864 118.2 0.000188985094175583
101376 118.8 0.000188750356259129
101888 119.4 0.000188519114946721
102400 120 0.000188291458157063
102912 120.6 0.000188067472057411
103424 121.2 0.000187847294370542
103936 121.8 0.000187631172690081
104448 122.4 0.000187419472241805
104960 123 0.00018721264772272
105472 123.6 0.000187011213026923
105984 124.2 0.000186815668303926
106496 124.8 0.000186626371655455
107008 125.4 0.000186443503141611
107520 126 0.000186267251426091
108032 126.6 0.00018609804754373
108544 127.2 0.000185936505125202
109056 127.8 0.000185783057431371
109568 128.4 0.000185637728607656
110080 129 0.000185500364741427
110592 129.6 0.000185371052660125
111104 130.2 0.000185250184391501
111616 130.8 0.000185138092733707
112128 131.4 0.000185034754014003
112640 132 0.00018493993208075
113152 132.6 0.00018485352063498
113664 133.2 0.000184775617143747
114176 133.8 0.000184706294900831
114688 134.4 0.000184645440397607
115200 135 0.000184592845662548
115712 135.6 0.00018454835437797
116224 136.2 0.00018451185149059
116736 136.8 0.000184483173355681
117248 137.4 0.000184462104060803
117760 138 0.000184448439645625
118272 138.6 0.000184442000585357
118784 139.2 0.000184442582443632
119296 139.8 0.000184449933027621
119808 140.4 0.000184463789059529
120320 141 0.000184483930750637
120832 141.6 0.000184510210158846
121344 142.2 0.000184542519432929
121856 142.8 0.000184580695124505
122368 143.4 0.000184624456700715
122880 144 0.000184673508355946
123392 144.6 0.000184727732997421
123904 145.2 0.000184787205061807
124416 145.8 0.000184851933931707
124928 146.4 0.0001849216575202
125440 147 0.000184996012171153
125952 147.6 0.000185074892972541
126464 148.2 0.000185158498443399
126976 148.8 0.000185246956748039
127488 149.4 0.000185340033122797
128000 150 0.000185437339455699
128512 150.6 0.000185538773776537
129024 151.2 0.00018564457967304
129536 151.8 0.000185754930278195
130048 152.4 0.000185869607574662
130560 153 0.000185988231789428
131072 153.6 0.000186110734249983
131584 154.2 0.000186237414586711
132096 154.8 0.000186368485047717
132608 155.4 0.000186503729421745
133120 156 0.00018664276577396
133632 156.6 0.000186785556111028
134144 157.2 0.000186932441409872
134656 157.8 0.000187083647800112
135168 158.4 0.000187238968421575
135680 159 0.000187398061981238
136192 159.6 0.000187560905578412
136704 160.2 0.000187727742489992
137216 160.8 0.000187898647759882
137728 161.4 0.000188073379497042
138240 162 0.000188251688697412
138752 162.6 0.000188433560235305
139264 163.2 0.000188619038726054
139776 163.8 0.000188807979235427
140288 164.4 0.000189000128498744
140800 165 0.000189195361727689
141312 165.6 0.00018939367349509
141824 166.2 0.000189594961840818
142336 166.8 0.000189798963705587
142848 167.4 0.000190005417804513
143360 168 0.000190214191072014
143872 168.6 0.000190425226820102
144384 169.2 0.000190638442685798
144896 169.8 0.000190853685652422
145408 170.4 0.000191070718979497
145920 171 0.000191289262748248
146432 171.6 0.000191509136179511
146944 172.2 0.000191730357710212
147456 172.8 0.000191952994677982
147968 173.4 0.000192176896187515
148480 174 0.000192401704391179
148992 174.6 0.000192627182383708
149504 175.2 0.000192853389260165
150016 175.8 0.000193080428302894
150528 176.4 0.00019330814854734
151040 177 0.000193536241910172
151552 177.6 0.000193764546816305
152064 178.2 0.000193993079279631
152576 178.8 0.000194221788160132
153088 179.4 0.000194450448010695
153600 180 0.000194678833017174
154112 180.6 0.00019490686808526
154624 181.2 0.000195134517975799
155136 181.8 0.000195361587589869
155648 182.4 0.000195587736187375
156160 183 0.000195812696029686
156672 183.6 0.00019603639000295
157184 184.2 0.000196258777160563
157696 184.8 0.000196479633188731
158208 185.4 0.000196698565440685
158720 186 0.00019691523803243
159232 186.6 0.00019712949839516
159744 187.2 0.0001973412466047
160256 187.8 0.000197550249024032
160768 188.4 0.00019775615858877
161280 189 0.000197958693672246
161792 189.6 0.000198157704203288
162304 190.2 0.00019835303995846
162816 190.8 0.000198544442603017
163328 191.4 0.00019873163906177
163840 192 0.000198914489776381
164352 192.6 0.00019909295359428
164864 193.2 0.000199266919421607
165376 193.8 0.000199436165865364
165888 194.4 0.000199600511114295
166400 195 0.000199759927683286
166912 195.6 0.000199914465810619
167424 196.2 0.000200064117193722
167936 196.8 0.00020020880276545
168448 197.4 0.00020034845617298
168960 198 0.000200483069697185
169472 198.6 0.000200612684271252
169984 199.2 0.000200737379193462
170496 199.8 0.000200857247419714
171008 200.4 0.000200972332581215
171520 201 0.000201082608549351
172032 201.6 0.000201188071495181
172544 202.2 0.000201288835249158
173056 202.8 0.000201385070936338
173568 203.4 0.000201476853119958
174080 204 0.000201564140767157
174592 204.6 0.000201646936327403
175104 205.2 0.000201725388865901
175616 205.8 0.000201799681370908
176128 206.4 0.000201869872875474
176640 207 0.00020193593602542
177152 207.6 0.000201997923955804
177664 208.2 0.000202056002466424
178176 208.8 0.000202110305777428
178688 209.4 0.000202160853519789
179200 210 0.000202207658720648
179712 210.6 0.000202250847172104
180224 211.2 0.000202290595005893
180736 211.8 0.000202326983127805
181248 212.4 0.000202359994304317
181760 213 0.000202389651553779
182272 213.6 0.000202416084384949
182784 214.2 0.000202439431712894
183296 214.8 0.000202459733512156
183808 215.4 0.000202476960104936
184320 216 0.000202491119224991
184832 216.6 0.000202502287414322
185344 217.2 0.000202510534945679
185856 217.8 0.000202515854353759
186368 218.4 0.000202518186397452
186880 219 0.000202517506006359
187392 219.6 0.000202513853585784
187904 220.2 0.000202507271557728
188416 220.8 0.000202497736091008
188928 221.4 0.000202485178114164
189440 222 0.000202469557747156
189952 222.6 0.000202450885584762
190464 223.2 0.000202429173319325
190976 223.8 0.000202404398296796
191488 224.4 0.000202376531038566
192000 225 0.000202345575740496
192512 225.6 0.000202311566249722
193024 226.2 0.000202274536123308
193536 226.8 0.000202234511616749
194048 227.4 0.000202191526155308
194560 228 0.000202145621119015
195072 228.6 0.00020209683405764
195584 229.2 0.000202045205265091
196096 229.8 0.000201990797489251
196608 230.4 0.000201933691805186
197120 231 0.0002018739606575
197632 231.6 0.00020181165943982
198144 232.2 0.000201746848771225
198656 232.8 0.000201679614919458
199168 233.4 0.000201610064775661
199680 234 0.000201538306076295
200192 234.6 0.000201464435828927
200704 235.2 0.00020138855073396
201216 235.8 0.000201310769400927
201728 236.4 0.000201231231831066
202240 237 0.000201150065482369
202752 237.6 0.000201067363240532
203264 238.2 0.0002009832110276
203776 238.8 0.000200897727536986
204288 239.4 0.000200811058005193
204800 240 0.000200723335590053
205312 240.6 0.000200634667565412
205824 241.2 0.000200545154393658
206336 241.8 0.000200454902602343
206848 242.4 0.000200364019163557
207360 243 0.000200272610480451
207872 243.6 0.000200180790208187
208384 244.2 0.000200088673502977
208896 244.8 0.000199996355033285
209408 245.4 0.000199903899503048
209920 246 0.000199811361892155
210432 246.6 0.000199718815611298
210944 247.2 0.000199626355282229
211456 247.8 0.000199534070888263
211968 248.4 0.000199442024335801
212480 249 0.000199350257063278
212992 249.6 0.00019925881971155
213504 250.2 0.000199167786894265
214016 250.8 0.000199077239218881
214528 251.4 0.000198987239514726
215040 252 0.0001988978394538
215552 252.6 0.000198809108433693
216064 253.2 0.000198721140541847
216576 253.8 0.000198634026485044
217088 254.4 0.00019854783442513
217600 255 0.000198462634932167
218112 255.6 0.000198378535165737
218624 256.2 0.000198295667573411
219136 256.8 0.000198214149946429
219648 257.4 0.000198134082473216
220160 258 0.000198055588400413
220672 258.6 0.00019797883267899
221184 259.2 0.000197903986747728
221696 259.8 0.000197831191322721
222208 260.4 0.000197760568384332
222720 261 0.000197692255950419
223232 261.6 0.00019762641007157
223744 262.2 0.000197563175020317
224256 262.8 0.000197502668849333
224768 263.4 0.000197445000890733
225280 264 0.000197390287825354
225792 264.6 0.000197338642351791
226304 265.2 0.000197290153301989
226816 265.8 0.000197244886772028
227328 266.4 0.000197202903995214
227840 267 0.000197164268850914
228352 267.6 0.000197129036427058
228864 268.2 0.000197097239732811
229376 268.8 0.000197068887493056
229888 269.4 0.000197043968358932
230400 270 0.000197022456362192
230912 270.6 0.000197004318227615
231424 271.2 0.000196989515042194
231936 271.8 0.000196977987051314
232448 272.4 0.000196969635005655
232960 273 0.000196964329967531
233472 273.6 0.000196961950484462
233984 274.2 0.000196962400482396
234496 274.8 0.000196965580410303
235008 275.4 0.000196971350210819
235520 276 0.000196979536440037
236032 276.6 0.000196989973561971
236544 277.2 0.000197002524116856
237056 277.8 0.000197017059250365
237568 278.4 0.000197033439161189
238080 279 0.000197051524368635
238592 279.6 0.000197071193810502
239104 280.2 0.000197092335225818
239616 280.8 0.000197114821566801
240128 281.4 0.000197138513344328
240640 282 0.000197163286871669
241152 282.6 0.000197189045089426
241664 283.2 0.000197215692265026
242176 283.8 0.000197243113369134
242688 284.4 0.000197271198825514
243200 285 0.000197299885477088
243712 285.6 0.000197329152547179
244224 286.2 0.000197358977332374
244736 286.8 0.000197389316859584
245248 287.4 0.00019742013588202
245760 288 0.000197451428912612
246272 288.6 0.000197483207205701
246784 289.2 0.000197515485025434
247296 289.8 0.000197548285565179
247808 290.4 0.000197581638914234
248320 291 0.000197615564445838
248832 291.6 0.000197650072090054
249344 292.2 0.000197685188927983
249856 292.8 0.000197720969913595
250368 293.4 0.000197757476251219
250880 294 0.000197794757123291
251392 294.6 0.000197832858891249
251904 295.2 0.000197871839867526
252416 295.8 0.000197911767594916
252928 296.4 0.000197952710055385
253440 297 0.000197994738805689
253952 297.6 0.000198037937678018
254464 298.2 0.000198082400969736
