# Scalar ASCII output created by CarpetIOScalar
# created on malvi-BOHK-WAX9X by malvi on Jul 12 2025 at 20:53:38+0200
# parameter filename: "./TOV_example.par"
# Build ID: build-sim-malvi-BOHK-WAX9X-malvi-2025.07.12-13.11.05-262947
# Simulation ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
# Run ID: run-TOV_example-malvi-BOHK-WAX9X-malvi-2025.07.12-18.53.29-420299
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
17920 21 1808.69940991473 1967.38396243334 50.6638770103455 41.7979900836945 40.1224613189697 0 10.5431966781616 105 131458.952667284 131458.952667284 5494720 5494720 56940.5369787971 56940.5369787971 2380000 2380000 280.986926872005 294032.328365137 6016.36458107678 288015.96378406 2966 3099717 63621 3036096 0 0 0 0 50.3024270534515 1752346460.39713 22631
18432 21.6 1839.45690844438 1965.8650116314 51.1392338275909 42.2733469009399 40.5351452827454 0 10.6601052284241 108 133694.453227084 133694.453227084 5651712 5651712 57908.8285991751 57908.8285991751 2448000 2448000 289.133760721973 300977.022824971 6117.16883781873 294859.853987152 3148 3426419 65075 3361344 0 0 0 0 50.7677319049835 1752346460.87249 23270
18944 22.2 1733.10796598395 1947.95116508215 54.9795749187469 46.1136879920959 44.3108661174774 0 10.6718599796295 111 125964.854535071 125964.854535071 5808704 5808704 54560.8063365318 54560.8063365318 2516000 2516000 297.130614308527 321285.64607482 6219.96543687682 315065.680637943 3174 3427910 66566 3361344 0 0 0 0 54.5985426902771 1752346464.71283 23909
19456 22.8 1762.95709607462 1946.10666506822 55.4240250587463 46.5581381320953 44.7145879268646 0 10.7427368164062 114 128134.333530994 128134.333530994 5965696 5965696 55500.5011727196 55500.5011727196 2584000 2584000 301.789903633536 320633.657746367 6335.90721570235 314297.750530665 3272 3441503 68063 3373440 0 0 0 0 55.0327751636505 1752346465.15728 24548
19968 23.4 1786.11827706902 1943.93654230871 56.0296168327332 47.1637299060822 45.2781202793121 0 10.753874540329 117 129817.722478527 129817.722478527 6122688 6122688 56229.6494632839 56229.6494632839 2652000 2652000 306.375952746028 320214.956391772 6450.26482177809 313764.691569994 3298 3442998 69558 3373440 0 0 0 0 55.628977060318 1752346465.76287 25187
20480 24 1808.25944769357 1942.1358778937 56.6466410160065 47.7807540893555 45.8309879302979 0 10.8824231624603 120 131426.975561254 131426.975561254 6279680 6279680 56926.6863162789 56926.6863162789 2720000 2720000 314.174278064631 326832.875646769 6550.41350148466 320282.462145285 3480 3769736 71048 3698688 0 0 0 0 56.2362048625946 1752346466.3799 25826
20992 24.6 1827.92916062438 1940.49447579455 57.3141539096832 48.4482669830322 46.4232716560364 0 10.8932540416718 123 132856.599437381 132856.599437381 6436672 6436672 57545.9180196564 57545.9180196564 2788000 2788000 321.553380014493 346251.195465572 6637.93789302905 339613.257572543 3506 3771189 72501 3698688 0 0 0 0 56.8941679000854 1752346467.04741 26465
21504 25.2 1855.5710036792 1939.66149520117 57.7564978599548 48.8906109333038 46.8256893157959 0 10.9630780220032 126 134865.649541484 134865.649541484 6593664 6593664 58416.1241899008 58416.1241899008 2856000 2856000 326.050903334546 345545.161159954 6750.8272331265 338794.333926827 3604 3784783 73999 3710784 0 0 0 0 57.3257772922516 1752346467.48975 27104
22016 25.8 1882.2981261157 1939.04460951479 58.209823846817 49.343936920166 47.2390975952148 0 10.9725067615509 129 136808.216395906 136808.216395906 6750656 6750656 59257.5335999388 59257.5335999388 2924000 2924000 330.51594915792 345106.687850048 6862.5356492698 338244.152200778 3630 3786278 75494 3710784 0 0 0 0 57.7711548805237 1752346467.94308 27743
22528 26.4 1907.16829819604 1938.67190578967 58.6989300251007 49.8330430984497 47.653596162796 0 11.111407995224 132 138615.817347404 138615.817347404 6907648 6907648 60040.483461727 60040.483461727 2992000 2992000 337.699162967783 351115.416550278 6951.2611349875 344164.15541529 3812 4113020 76988 4036032 0 0 0 0 58.2486989498138 1752346468.43219 28382
23040 27 1835.26214934932 1933.70693139757 61.8283479213715 52.9624609947205 50.7076334953308 0 11.1243553161621 135 133389.571921596 133389.571921596 7064640 7064640 57776.7713684044 57776.7713684044 3060000 3060000 344.762022754777 369967.507695891 7038.30680308793 362929.200892803 3838 4114501 78469 4036032 0 0 0 0 61.3682286739349 1752346471.5616 29021
23552 27.6 1821.29546534163 1930.22586253107 63.4204618930817 54.5545749664307 52.2592043876648 0 11.1877481937408 138 132374.452636534 132374.452636534 7221632 7221632 57337.0794644586 57337.0794644586 3128000 3128000 349.064610157875 369165.570994154 7141.84758852786 362023.723405626 3936 4128047 79919 4048128 0 0 0 0 62.9512572288513 1752346473.15372 29660
